2025-09-24 22:03:02.821668 +05:30: Daemon started successfully
2025-09-24 22:03:12.159169 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/dep-graph.bin
2025-09-24 22:03:12.159231 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf23twmsv-0yet53x-9xriykn7r4wo31x1ppwg8t6q7
2025-09-24 22:03:12.159307 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/work-products.bin
2025-09-24 22:03:12.159354 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/dep-graph.part.bin
2025-09-24 22:03:12.159385 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/dep-graph.part.bin
2025-09-24 22:03:12.184129 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/output-bin-lintpulse
2025-09-24 22:03:12.184217 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/output-test-bin-lintpulse
2025-09-24 22:03:12.309958 +05:30: Processing file: /Users/mukesh/projects/LintPulse/src/watcher.rs
2025-09-24 22:03:12.310559 +05:30: Lint executed: cargo clippy --quiet
2025-09-24 22:03:12.310578 +05:30: Format executed: rustfmt /Users/mukesh/projects/LintPulse/src/watcher.rs
2025-09-24 22:03:12.371911 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-4b88f2ff59a74eca.d
2025-09-24 22:03:12.372068 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-c0584767108820d2.d
2025-09-24 22:03:12.495560 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82
2025-09-24 22:03:12.507734 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/invoked.timestamp
2025-09-24 22:03:12.519330 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg
2025-09-24 22:03:12.519381 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf2512v7o-0lthamq.lock
2025-09-24 22:03:12.519412 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf2512v7o-0lthamq-working
2025-09-24 22:03:12.519440 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf2512v7o-0lthamq-working/dep-graph.part.bin
2025-09-24 22:03:12.530817 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/output-bin-lintpulse
2025-09-24 22:03:12.542153 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-b6899cb0c7431f82.d
2025-09-24 22:03:12.591791 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/.rustc_info.json
2025-09-24 22:03:12.619013 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/bin-lintpulse
2025-09-24 22:03:12.721692 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/query-cache.bin
2025-09-24 22:03:12.721847 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working
2025-09-24 22:03:12.722165 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/output-bin-lintpulse
2025-09-24 22:03:12.722274 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/query-cache.bin
2025-09-24 22:03:12.722379 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/num-traits-1a3631f31fe72eda/build-script-build
2025-09-24 22:03:12.722529 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/work-products.bin
2025-09-24 22:03:12.722620 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/dep-graph.bin
2025-09-24 22:03:12.722714 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/dep-graph.part.bin
2025-09-24 22:03:12.722816 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/mime_guess-397fc96b963af306/build-script-build
2025-09-24 22:03:12.722902 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/test-bin-lintpulse
2025-09-24 22:03:12.722997 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/rand-fc5aae0121eccdc0/build-script-build
2025-09-24 22:03:12.723089 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/rand_pcg-95c1454860fcddd0/build-script-build
2025-09-24 22:03:12.723175 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/invoked.timestamp
2025-09-24 22:03:12.723256 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/httparse-cf2d93bb4ba0378f/build-script-build
2025-09-24 22:03:12.723352 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf23twmsu-0q5jxbr-9x4hjsw3qsgqt9pmswikt1x3s
2025-09-24 22:03:12.723447 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/proc-macro2-f31282f1bf407fdb/build-script-build
2025-09-24 22:03:12.723533 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/serde_core-417f0deb54a7542c/build-script-build
2025-09-24 22:03:12.723621 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/rand_chacha-13e4b7ed0d253711/build-script-build
2025-09-24 22:03:12.723701 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/dep-graph.part.bin
2025-09-24 22:03:12.723802 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/work-products.bin
2025-09-24 22:03:12.723902 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/libc-27ba057bae1f1744/build-script-build
2025-09-24 22:03:12.723985 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/invoked.timestamp
2025-09-24 22:03:12.724075 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/unicase-3f986b8ec53405a3/build-script-build
2025-09-24 22:03:12.724158 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/output-test-bin-lintpulse
2025-09-24 22:03:12.724242 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/dep-graph.bin
2025-09-24 22:03:12.724334 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f.lock
2025-09-24 22:03:12.724421 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf23twmsv-0yet53x-9xriykn7r4wo31x1ppwg8t6q7
2025-09-24 22:03:12.724518 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working
2025-09-24 22:03:12.724610 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm.lock
2025-09-24 22:03:12.724696 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/serde-27bdf1dda35bed12/build-script-build
2025-09-24 22:03:12.934959 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-4b88f2ff59a74eca.d
2025-09-24 22:03:12.935086 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-c0584767108820d2.d
2025-09-24 22:03:13.040279 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg
2025-09-24 22:03:13.040467 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/output-bin-lintpulse
2025-09-24 22:03:13.040797 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf2512v7o-0lthamq-working
2025-09-24 22:03:13.040939 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82
2025-09-24 22:03:13.041052 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/invoked.timestamp
2025-09-24 22:03:13.041170 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf2512v7o-0lthamq.lock
2025-09-24 22:03:13.041285 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf2512v7o-0lthamq-working/dep-graph.part.bin
2025-09-24 22:03:13.146635 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-b6899cb0c7431f82.d
2025-09-24 22:03:13.147191 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/.rustc_info.json
2025-09-24 22:03:13.178165 +05:30: File changed: /Users/mukesh/projects/LintPulse/src/watcher.rs
2025-09-24 22:03:13.357885 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/bin-lintpulse
2025-09-24 22:03:13.357977 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/output-bin-lintpulse
2025-09-24 22:03:13.358025 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/test-bin-lintpulse
2025-09-24 22:03:13.358065 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/output-test-bin-lintpulse
2025-09-24 22:03:13.358103 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/libc-27ba057bae1f1744/build-script-build
2025-09-24 22:03:13.358144 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/proc-macro2-f31282f1bf407fdb/build-script-build
2025-09-24 22:03:13.358181 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/unicase-3f986b8ec53405a3/build-script-build
2025-09-24 22:03:13.358221 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/rand_chacha-13e4b7ed0d253711/build-script-build
2025-09-24 22:03:13.363739 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/rand_pcg-95c1454860fcddd0/build-script-build
2025-09-24 22:03:13.363822 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/rand-fc5aae0121eccdc0/build-script-build
2025-09-24 22:03:13.363934 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/serde_core-417f0deb54a7542c/build-script-build
2025-09-24 22:03:13.364003 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/httparse-cf2d93bb4ba0378f/build-script-build
2025-09-24 22:03:13.364071 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/mime_guess-397fc96b963af306/build-script-build
2025-09-24 22:03:13.364117 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/num-traits-1a3631f31fe72eda/build-script-build
2025-09-24 22:03:13.364158 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/serde-27bdf1dda35bed12/build-script-build
2025-09-24 22:03:13.364195 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/invoked.timestamp
2025-09-24 22:03:13.364256 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/invoked.timestamp
2025-09-24 22:03:13.382936 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp.lock
2025-09-24 22:03:13.383025 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9.lock
2025-09-24 22:03:13.383081 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working
2025-09-24 22:03:13.383126 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working
2025-09-24 22:03:13.383168 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/query-cache.bin
2025-09-24 22:03:13.383216 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/query-cache.bin
2025-09-24 22:03:13.383255 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/dep-graph.bin
2025-09-24 22:03:13.383282 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/dep-graph.bin
2025-09-24 22:03:13.383306 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/work-products.bin
2025-09-24 22:03:13.383338 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf23twmsu-0q5jxbr-9x4hjsw3qsgqt9pmswikt1x3s
2025-09-24 22:03:13.383361 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/work-products.bin
2025-09-24 22:03:13.383384 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf23twmsv-0yet53x-9xriykn7r4wo31x1ppwg8t6q7
2025-09-24 22:03:13.392146 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/dep-graph.part.bin
2025-09-24 22:03:13.392240 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/dep-graph.part.bin
2025-09-24 22:03:13.776387 +05:30: Processing file: /Users/mukesh/projects/LintPulse/src/watcher.rs
2025-09-24 22:03:13.778301 +05:30: Format executed: rustfmt /Users/mukesh/projects/LintPulse/src/watcher.rs
2025-09-24 22:03:13.778310 +05:30: Lint executed: cargo clippy --quiet
2025-09-24 22:03:13.881838 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/output-bin-lintpulse
2025-09-24 22:03:13.881992 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/num-traits-1a3631f31fe72eda/build-script-build
2025-09-24 22:03:13.882210 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/mime_guess-397fc96b963af306/build-script-build
2025-09-24 22:03:13.882269 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/test-bin-lintpulse
2025-09-24 22:03:13.882326 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/rand-fc5aae0121eccdc0/build-script-build
2025-09-24 22:03:13.882388 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/rand_pcg-95c1454860fcddd0/build-script-build
2025-09-24 22:03:13.882449 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/invoked.timestamp
2025-09-24 22:03:13.882504 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/httparse-cf2d93bb4ba0378f/build-script-build
2025-09-24 22:03:13.882562 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/proc-macro2-f31282f1bf407fdb/build-script-build
2025-09-24 22:03:13.882678 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/serde_core-417f0deb54a7542c/build-script-build
2025-09-24 22:03:13.882751 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/rand_chacha-13e4b7ed0d253711/build-script-build
2025-09-24 22:03:13.882815 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/libc-27ba057bae1f1744/build-script-build
2025-09-24 22:03:13.882872 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/bin-lintpulse
2025-09-24 22:03:13.882936 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/invoked.timestamp
2025-09-24 22:03:13.883003 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/unicase-3f986b8ec53405a3/build-script-build
2025-09-24 22:03:13.883057 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/output-test-bin-lintpulse
2025-09-24 22:03:13.883120 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/build/serde-27bdf1dda35bed12/build-script-build
2025-09-24 22:03:13.925524 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/.rustc_info.json
2025-09-24 22:03:13.944822 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/output-bin-lintpulse
2025-09-24 22:03:13.950810 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/invoked.timestamp
2025-09-24 22:03:13.962076 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf251xsm8-1hgr5zb.lock
2025-09-24 22:03:13.962138 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf251xsm8-1hgr5zb-working
2025-09-24 22:03:13.962170 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf251xsm8-1hgr5zb-working/dep-graph.part.bin
2025-09-24 22:03:13.987096 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-b6899cb0c7431f82.d
2025-09-24 22:03:13.988259 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9.lock
2025-09-24 22:03:13.988323 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp.lock
2025-09-24 22:03:13.988376 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working
2025-09-24 22:03:13.988427 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/work-products.bin
2025-09-24 22:03:13.988561 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf23twmsu-0q5jxbr-9x4hjsw3qsgqt9pmswikt1x3s
2025-09-24 22:03:13.988616 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/dep-graph.part.bin
2025-09-24 22:03:13.988685 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/dep-graph.part.bin
2025-09-24 22:03:13.988759 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/work-products.bin
2025-09-24 22:03:13.988882 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/dep-graph.bin
2025-09-24 22:03:13.989062 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf23twmsv-0yet53x-9xriykn7r4wo31x1ppwg8t6q7
2025-09-24 22:03:13.989152 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working
2025-09-24 22:03:13.989225 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/query-cache.bin
2025-09-24 22:03:13.989282 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf251letm-1tz2yh9-working/query-cache.bin
2025-09-24 22:03:13.989341 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf251letl-15mfqfp-working/dep-graph.bin
2025-09-24 22:03:14.514921 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf251xsm8-1hgr5zb-working
2025-09-24 22:03:14.515563 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf251xsm8-1hgr5zb.lock
2025-09-24 22:03:14.515986 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-b6899cb0c7431f82/output-bin-lintpulse
2025-09-24 22:03:14.516235 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/deps/lintpulse-b6899cb0c7431f82.d
2025-09-24 22:03:14.516445 +05:30: Processing file: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-0tj58ezckj6fg/s-hbf251xsm8-1hgr5zb-working/dep-graph.part.bin
